project,id,pattern,flags,hash,english,chromium_all,chromium_pairs,chromium_all_vs_english_pct,chromium_all_vs_hash_pct,chromium_pairs_vs_english_pct,chromium_pairs_vs_hash_pct
vllm,literal_parallel,get_tensor_model_parallel_world_size,-F,8.164083,7.859209,7.939209,7.773416,1.0179141437770545,-2.7544305955733206,-1.0916238517133192,-4.785191429337498
vllm,word_sampling,\bSamplingParams\b,,9.43725,9.334458,9.258167,9.306167,-0.8173050861656872,-1.8976184799597395,-0.30308133584188157,-1.3889957349863646
vllm,word_asyncmock,\bAsyncMock\b,,6.135542,5.97725,5.963958,6.2645,-0.22237651093730548,-2.7965581524826977,4.805721694759302,2.1018192035846317
vllm,def_forward,def\s+forward\b,,16.006625,16.30125,16.074625,16.09275,-1.390230810520654,0.42482409627264683,-1.2790430181734536,0.5380584601688332
vllm,async_def,async\s+def\s+\w+,,13.230792,13.375,13.042916,13.281541,-2.482871028037381,-1.4199905795510892,-0.6987588785046683,0.383567363163162
vllm,class_attention,^class[ \t]+\w*Attention\b,,12.313209,11.698291,11.869333,11.918958,1.4621110040774266,-3.604876681618907,1.8863182664886846,-3.2018542038878772
vllm,python_import,^from[ \t]+vllm(?:\.[\w.]+)?[ \t]+import\b,,44.589542,45.661917,46.153708,45.037459,1.0770266171698406,3.507921207174536,-1.3675685144800331,1.0045337536770393
vllm,decorator,^[ \t]*@(?:torch|pytest)\.[A-Za-z_]+,,19.467417,20.773625,20.648042,19.675083,-0.6045309858053072,6.06462069415783,-5.2881574592782865,1.0667362804217984
vllm,logger,logger\.(warning|error)\(,,9.524166,9.610708,9.548084,9.117041,-0.6516065205602106,0.2511296002190688,-5.1366350949378585,-4.274652499756925
vllm,exceptions,\b(ValueError|RuntimeError|NotImplementedError)\b,,22.07075,21.788417,22.271084,21.903833,2.215245834518398,0.9076900422504863,0.5297126450260148,-0.7562815038002824
vllm,cache,\b(kv_cache|block_size)\b,,18.936208,18.037416,17.772125,18.274416,-1.4707816241528282,-6.147392339585633,1.3139354328801867,-3.494849655221377
vllm,tensor_creation,\b(torch|numpy)\.(empty|zeros|ones)\b,,18.300458,18.470875,18.365583,18.641709,-0.5700433791035797,0.3558654105815462,0.9248830929774465,1.8647128940707303
vllm,env_vars,\b(VLLM|CUDA)_[A-Z0-9_]+\b,,18.045625,17.486333,17.724917,17.909584,1.3644027023847816,-1.777206386589547,2.420467458786235,-0.7538724760156712
vllm,cuda_call,\btorch\.cuda\.[a-z_]+\(,,9.147917,8.987125,8.978708,8.82525,-0.09365620262321572,-1.8496997731833442,-1.8011878103397994,-3.5272182727499546
vllm,config_assignment,\bmax_(model_len|num_seqs)[ \t]*=,,11.726209,12.527208,12.98325,11.64525,3.6404121333341033,10.71992661908039,-7.040339714962817,-0.6904106860111447
vllm,raise_error,raise[ \t]+\w*Error\(,,19.244416,21.2745,21.05225,20.530125,-1.0446779007732165,9.39407046698637,-3.4989071423535134,6.680945787079229
vllm,todo_comment,^[ \t]*#.*\b(TODO|FIXME)\b,,10.73625,10.940666,10.898875,10.987791,-0.38197857424767667,1.5147281406450164,0.4307324618080699,2.342913028291993
vllm,return_none,^[ \t]*return[ \t]+None[ \t]*$,,31.123083,31.327834,31.107042,31.192416,-0.7047790153637767,-0.051540523797088955,-0.43226097278221687,0.22277034701221332
